metric_name,metric_value,metric_source,metric_schema,observation_level,episode_index,source_line_start,source_line_end,trajectory_id,benchmark,base_model,harness_family,agent_model,batch_id,configuration_id,checkpoint_reference,evaluation_sample_size,metric_value_raw,source_reference,normalized_progress
accuracy,0.0,task/eval_v3_full.json,workspace_json,intermediate,7,,,0215fef30908bf5786ea,AIME 2025,Gemma-3-4B-PT,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run2,claude_claude-opus-4-6_10h_run2::AIME 2025::Gemma-3-4B-PT,,,0.0,task/eval_v3_full.json,1.0
accuracy,0.0,metrics.json,top_level_metrics,final_only,7,,,0215fef30908bf5786ea,AIME 2025,Gemma-3-4B-PT,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run2,claude_claude-opus-4-6_10h_run2::AIME 2025::Gemma-3-4B-PT,,,0.0,data/PostTrainBench-Trajectories/claude_claude-opus-4-6_10h_run2/aime2025_google_gemma-3-4b-pt_16855644/metrics.json,1.0
accuracy,0.11958788700305138,task/eval_results_v2.json,workspace_json,intermediate,9,,,021c6caa5d6572da04d2,HealthBench,Qwen3-4B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run1,claude_claude-opus-4-6_10h_run1::HealthBench::Qwen3-4B-Base,,,0.11958788700305138,task/eval_results_v2.json,1.0
accuracy,0.1317,task/eval_results_v3.json,workspace_json,intermediate,9,,,021c6caa5d6572da04d2,HealthBench,Qwen3-4B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run1,claude_claude-opus-4-6_10h_run1::HealthBench::Qwen3-4B-Base,,,0.1317,task/eval_results_v3.json,1.0
accuracy,0.03617664487229705,task/eval_results_v1.json,workspace_json,intermediate,9,,,021c6caa5d6572da04d2,HealthBench,Qwen3-4B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run1,claude_claude-opus-4-6_10h_run1::HealthBench::Qwen3-4B-Base,,,0.03617664487229705,task/eval_results_v1.json,1.0
accuracy,0.30408626299935065,metrics.json,top_level_metrics,final_only,9,,,021c6caa5d6572da04d2,HealthBench,Qwen3-4B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run1,claude_claude-opus-4-6_10h_run1::HealthBench::Qwen3-4B-Base,,,0.30408626299935065,data/PostTrainBench-Trajectories/claude_claude-opus-4-6_10h_run1/healthbench_Qwen_Qwen3-4B-Base_16855649/metrics.json,1.0
by_axis.accuracy,0.1702127659574468,task/eval_results_v2.json,workspace_json,intermediate,9,,,021c6caa5d6572da04d2,HealthBench,Qwen3-4B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run1,claude_claude-opus-4-6_10h_run1::HealthBench::Qwen3-4B-Base,,,0.1702127659574468,task/eval_results_v2.json,1.0
by_axis.accuracy,0.266,task/eval_results_v3.json,workspace_json,intermediate,9,,,021c6caa5d6572da04d2,HealthBench,Qwen3-4B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run1,claude_claude-opus-4-6_10h_run1::HealthBench::Qwen3-4B-Base,,,0.266,task/eval_results_v3.json,1.0
by_axis.accuracy,0.23404255319148937,task/eval_results_v1.json,workspace_json,intermediate,9,,,021c6caa5d6572da04d2,HealthBench,Qwen3-4B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run1,claude_claude-opus-4-6_10h_run1::HealthBench::Qwen3-4B-Base,,,0.23404255319148937,task/eval_results_v1.json,1.0
by_axis.accuracy,0.3177737881508079,metrics.json,top_level_metrics,final_only,9,,,021c6caa5d6572da04d2,HealthBench,Qwen3-4B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run1,claude_claude-opus-4-6_10h_run1::HealthBench::Qwen3-4B-Base,,,0.3177737881508079,data/PostTrainBench-Trajectories/claude_claude-opus-4-6_10h_run1/healthbench_Qwen_Qwen3-4B-Base_16855649/metrics.json,1.0
accuracy,0.42987111448066717,metrics.json,top_level_metrics,final_only,10,,,0295e24f5d185a738443,GSM8K,Qwen3-4B-Base,Codex,GPT-5.4 Codex,codex_non_api_high_gpt-5.4_10h_run3,codex_non_api_high_gpt-5.4_10h_run3::GSM8K::Qwen3-4B-Base,,,0.42987111448066717,data/PostTrainBench-Trajectories/codex_non_api_high_gpt-5.4_10h_run3/gsm8k_Qwen_Qwen3-4B-Base_16935922/metrics.json,1.0
accuracy,0.35365853658536583,metrics.json,top_level_metrics,final_only,1,,,02d0aadf338d7152f2ef,HumanEval,Gemma-3-4B-PT,OpenCode,Gemini 3.1 Pro,opencode_opencode_gemini-3.1-pro_10h_run1,opencode_opencode_gemini-3.1-pro_10h_run1::HumanEval::Gemma-3-4B-PT,,,0.35365853658536583,data/PostTrainBench-Trajectories/opencode_opencode_gemini-3.1-pro_10h_run1/humaneval_google_gemma-3-4b-pt_16868455/metrics.json,1.0
accuracy,0.2611607142857143,metrics.json,top_level_metrics,final_only,3,,,0306527d11d104b6deb7,GPQA Main,SmolLM3-3B-Base,Codex,GPT-5.3 Codex,codex_non_api_gpt-5.3-codex_10h_run3,codex_non_api_gpt-5.3-codex_10h_run3::GPQA Main::SmolLM3-3B-Base,,,0.2611607142857143,data/PostTrainBench-Trajectories/codex_non_api_gpt-5.3-codex_10h_run3/gpqamain_HuggingFaceTB_SmolLM3-3B-Base_16849718/metrics.json,1.0
accuracy,0.23333333333333334,metrics.json,top_level_metrics,final_only,0,,,031681cc3a2946dfc835,AIME 2025,Qwen3-4B-Base,Claude,Claude Opus 4.8,claude_non_api_claude-opus-4-8_10h_run2,claude_non_api_claude-opus-4-8_10h_run2::AIME 2025::Qwen3-4B-Base,,,0.23333333333333334,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-8_10h_run2/aime2025_Qwen_Qwen3-4B-Base_17310164/metrics.json,1.0
accuracy,0.05803571428571429,metrics.json,top_level_metrics,final_only,10,,,031fcf3cb2fb2f43a2be,GPQA Main,Qwen3-4B-Base,OpenCode,GLM-5,opencode_zai_glm-5_10h_run2,opencode_zai_glm-5_10h_run2::GPQA Main::Qwen3-4B-Base,,,0.05803571428571429,data/PostTrainBench-Trajectories/opencode_zai_glm-5_10h_run2/gpqamain_Qwen_Qwen3-4B-Base_16853502/metrics.json,1.0
accuracy,0.10664616040906454,metrics.json,top_level_metrics,final_only,11,,,03428354093b558a9415,HealthBench,Qwen3-1.7B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run3,claude_claude-opus-4-6_10h_run3::HealthBench::Qwen3-1.7B-Base,,,0.10664616040906454,data/PostTrainBench-Trajectories/claude_claude-opus-4-6_10h_run3/healthbench_Qwen_Qwen3-1.7B-Base_16852573/metrics.json,1.0
by_axis.accuracy,0.19958108916816278,metrics.json,top_level_metrics,final_only,11,,,03428354093b558a9415,HealthBench,Qwen3-1.7B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run3,claude_claude-opus-4-6_10h_run3::HealthBench::Qwen3-1.7B-Base,,,0.19958108916816278,data/PostTrainBench-Trajectories/claude_claude-opus-4-6_10h_run3/healthbench_Qwen_Qwen3-1.7B-Base_16852573/metrics.json,1.0
accuracy,0.27901785714285715,metrics.json,top_level_metrics,final_only,7,,,0369e9c49b3eb4ee7460,GPQA Main,Gemma-3-4B-PT,Codex,GPT-5.5 Codex,codex_non_api_xhigh_reprompt_gpt-5.5_10h,codex_non_api_xhigh_reprompt_gpt-5.5_10h::GPQA Main::Gemma-3-4B-PT,,,0.27901785714285715,data/PostTrainBench-Trajectories/codex_non_api_xhigh_reprompt_gpt-5.5_10h/gpqamain_google_gemma-3-4b-pt_17135367/metrics.json,1.0
accuracy,0.25609756097560976,metrics.json,top_level_metrics,final_only,6,,,037d89890984b6e409d5,HumanEval,Qwen3-4B-Base,Codex,GPT-5.4 Codex,codex_non_api_high_gpt-5.4_10h_run3,codex_non_api_high_gpt-5.4_10h_run3::HumanEval::Qwen3-4B-Base,,,0.25609756097560976,data/PostTrainBench-Trajectories/codex_non_api_high_gpt-5.4_10h_run3/humaneval_Qwen_Qwen3-4B-Base_16935923/metrics.json,1.0
accuracy,0.24327212599532952,metrics.json,top_level_metrics,final_only,0,,,037efcb850453a6244ee,HealthBench,Qwen3-1.7B-Base,GLM-X,GLM-5.2 Preview,glmx_glm-5.2-preview_1m__10h_run1,glmx_glm-5.2-preview_1m__10h_run1::HealthBench::Qwen3-1.7B-Base,,,0.24327212599532952,data/PostTrainBench-Trajectories/glmx_glm-5.2-preview_1m__10h_run1/healthbench_Qwen_Qwen3-1.7B-Base_17339961/metrics.json,1.0
by_axis.accuracy,0.28605625374027527,metrics.json,top_level_metrics,final_only,0,,,037efcb850453a6244ee,HealthBench,Qwen3-1.7B-Base,GLM-X,GLM-5.2 Preview,glmx_glm-5.2-preview_1m__10h_run1,glmx_glm-5.2-preview_1m__10h_run1::HealthBench::Qwen3-1.7B-Base,,,0.28605625374027527,data/PostTrainBench-Trajectories/glmx_glm-5.2-preview_1m__10h_run1/healthbench_Qwen_Qwen3-1.7B-Base_17339961/metrics.json,1.0
accuracy,0.187229633365599,metrics.json,top_level_metrics,final_only,5,,,03999a2854501e6beebf,HealthBench,Qwen3-1.7B-Base,Codex,GPT-5.4 Codex,codex_non_api_high_gpt-5.4_10h_run1,codex_non_api_high_gpt-5.4_10h_run1::HealthBench::Qwen3-1.7B-Base,,,0.187229633365599,data/PostTrainBench-Trajectories/codex_non_api_high_gpt-5.4_10h_run1/healthbench_Qwen_Qwen3-1.7B-Base_16934889/metrics.json,1.0
by_axis.accuracy,0.2471573907839617,metrics.json,top_level_metrics,final_only,5,,,03999a2854501e6beebf,HealthBench,Qwen3-1.7B-Base,Codex,GPT-5.4 Codex,codex_non_api_high_gpt-5.4_10h_run1,codex_non_api_high_gpt-5.4_10h_run1::HealthBench::Qwen3-1.7B-Base,,,0.2471573907839617,data/PostTrainBench-Trajectories/codex_non_api_high_gpt-5.4_10h_run1/healthbench_Qwen_Qwen3-1.7B-Base_16934889/metrics.json,1.0
accuracy,0.2767857142857143,metrics.json,top_level_metrics,final_only,0,,,03a7a26aedc84d88dc4d,GPQA Main,Gemma-3-4B-PT,Claude,Claude Opus 4.7,claude_non_api_claude-opus-4-7_10h_run1,claude_non_api_claude-opus-4-7_10h_run1::GPQA Main::Gemma-3-4B-PT,,,0.2767857142857143,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-7_10h_run1/gpqamain_google_gemma-3-4b-pt_17116631/metrics.json,1.0
accuracy,0.27232142857142855,metrics.json,top_level_metrics,final_only,2,,,048bfd58d8387aae7a8c,GPQA Main,SmolLM3-3B-Base,Claude,Claude Opus 4.6,claude_non_api_claude-opus-4-6_1m__10h_run1,claude_non_api_claude-opus-4-6_1m__10h_run1::GPQA Main::SmolLM3-3B-Base,,,0.27232142857142855,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-6_1m__10h_run1/gpqamain_HuggingFaceTB_SmolLM3-3B-Base_16958127/metrics.json,1.0
accuracy,0.0,metrics.json,top_level_metrics,final_only,4,,,048d98e1b7458ccc9254,AIME 2025,Gemma-3-4B-PT,Codex,GPT-5.4 Codex,codex_non_api_high_gpt-5.4_10h_run1,codex_non_api_high_gpt-5.4_10h_run1::AIME 2025::Gemma-3-4B-PT,,,0.0,data/PostTrainBench-Trajectories/codex_non_api_high_gpt-5.4_10h_run1/aime2025_google_gemma-3-4b-pt_16931469/metrics.json,1.0
accuracy,0.8468536770280516,metrics.json,top_level_metrics,final_only,1,,,049e5f94a0884ab91f16,GSM8K,Qwen3-4B-Base,GLM-X,GLM-5.2 Preview,glmx_glm-5.2-preview_1m__10h_run2,glmx_glm-5.2-preview_1m__10h_run2::GSM8K::Qwen3-4B-Base,,,0.8468536770280516,data/PostTrainBench-Trajectories/glmx_glm-5.2-preview_1m__10h_run2/gsm8k_Qwen_Qwen3-4B-Base_17341958/metrics.json,1.0
accuracy,0.89,metrics.json,top_level_metrics,final_only,0,,,04aa35b16ed1eaaca1d2,BFCL,Gemma-3-4B-PT,GLM-X,GLM-5.2 Preview,glmx_glm-5.2-preview_1m__10h_run1,glmx_glm-5.2-preview_1m__10h_run1::BFCL::Gemma-3-4B-PT,,,0.89,data/PostTrainBench-Trajectories/glmx_glm-5.2-preview_1m__10h_run1/bfcl_google_gemma-3-4b-pt_17339942/metrics.json,1.0
accuracy,0.04318181818181818,metrics.json,top_level_metrics,final_only,6,,,0579d139caf39eeaeee6,ArenaHardWriting,SmolLM3-3B-Base,Claude,Claude Opus 4.6,claude_non_api_claude-opus-4-6_1m__10h_run1,claude_non_api_claude-opus-4-6_1m__10h_run1::ArenaHardWriting::SmolLM3-3B-Base,,,0.04318181818181818,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-6_1m__10h_run1/arenahardwriting_HuggingFaceTB_SmolLM3-3B-Base_16961781/metrics.json,1.0
accuracy,0.11607142857142858,metrics.json,top_level_metrics,final_only,4,,,05b1cc18a04d67f52da5,GPQA Main,Gemma-3-4B-PT,OpenCode,Kimi K2.5,opencode_opencode_kimi-k2.5_10h_run1,opencode_opencode_kimi-k2.5_10h_run1::GPQA Main::Gemma-3-4B-PT,,,0.11607142857142858,data/PostTrainBench-Trajectories/opencode_opencode_kimi-k2.5_10h_run1/gpqamain_google_gemma-3-4b-pt_16853226/metrics.json,1.0
accuracy,0.21960283567090688,metrics.json,top_level_metrics,final_only,0,,,05ca3d7d77274a382fa4,HealthBench,SmolLM3-3B-Base,GLM-X,GLM-5.2 Preview,glmx_glm-5.2-preview_1m__10h_run1,glmx_glm-5.2-preview_1m__10h_run1::HealthBench::SmolLM3-3B-Base,,,0.21960283567090688,data/PostTrainBench-Trajectories/glmx_glm-5.2-preview_1m__10h_run1/healthbench_HuggingFaceTB_SmolLM3-3B-Base_17340001/metrics.json,1.0
by_axis.accuracy,0.3129862357869539,metrics.json,top_level_metrics,final_only,0,,,05ca3d7d77274a382fa4,HealthBench,SmolLM3-3B-Base,GLM-X,GLM-5.2 Preview,glmx_glm-5.2-preview_1m__10h_run1,glmx_glm-5.2-preview_1m__10h_run1::HealthBench::SmolLM3-3B-Base,,,0.3129862357869539,data/PostTrainBench-Trajectories/glmx_glm-5.2-preview_1m__10h_run1/healthbench_HuggingFaceTB_SmolLM3-3B-Base_17340001/metrics.json,1.0
accuracy,0.17633928571428573,metrics.json,top_level_metrics,final_only,0,,,05f8978191590b6ff4d1,GPQA Main,Qwen3-1.7B-Base,Claude,Claude Sonnet 4.6,claude_non_api_claude-sonnet-4-6_10h,claude_non_api_claude-sonnet-4-6_10h::GPQA Main::Qwen3-1.7B-Base,,,0.17633928571428573,data/PostTrainBench-Trajectories/claude_non_api_claude-sonnet-4-6_10h/gpqamain_Qwen_Qwen3-1.7B-Base_16860890/metrics.json,1.0
accuracy,0.66565579984837,metrics.json,top_level_metrics,final_only,8,,,0632a2e4c55da7022896,GSM8K,Qwen3-1.7B-Base,Claude,Claude Opus 4.7,claude_non_api_claude-opus-4-7_10h_run2,claude_non_api_claude-opus-4-7_10h_run2::GSM8K::Qwen3-1.7B-Base,,,0.66565579984837,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-7_10h_run2/gsm8k_Qwen_Qwen3-1.7B-Base_17124733/metrics.json,1.0
accuracy,0.94,task/eval_v2_full.json,workspace_json,intermediate,7,,,0635e6c5ba98bffa144d,BFCL,Qwen3-4B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run2,claude_claude-opus-4-6_10h_run2::BFCL::Qwen3-4B-Base,,,0.94,task/eval_v2_full.json,1.0
accuracy,0.87,task/eval_full_100_v2.json,workspace_json,intermediate,7,,,0635e6c5ba98bffa144d,BFCL,Qwen3-4B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run2,claude_claude-opus-4-6_10h_run2::BFCL::Qwen3-4B-Base,,,0.87,task/eval_full_100_v2.json,1.0
accuracy,1.0,task/eval_final_100.json,workspace_json,intermediate,7,,,0635e6c5ba98bffa144d,BFCL,Qwen3-4B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run2,claude_claude-opus-4-6_10h_run2::BFCL::Qwen3-4B-Base,,,1.0,task/eval_final_100.json,1.0
accuracy,1.0,task/eval_v6_run2.json,workspace_json,intermediate,7,,,0635e6c5ba98bffa144d,BFCL,Qwen3-4B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run2,claude_claude-opus-4-6_10h_run2::BFCL::Qwen3-4B-Base,,,1.0,task/eval_v6_run2.json,1.0
accuracy,0.92,task/eval_full_100.json,workspace_json,intermediate,7,,,0635e6c5ba98bffa144d,BFCL,Qwen3-4B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run2,claude_claude-opus-4-6_10h_run2::BFCL::Qwen3-4B-Base,,,0.92,task/eval_full_100.json,1.0
accuracy,0.94,task/eval_verify_3.json,workspace_json,intermediate,7,,,0635e6c5ba98bffa144d,BFCL,Qwen3-4B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run2,claude_claude-opus-4-6_10h_run2::BFCL::Qwen3-4B-Base,,,0.94,task/eval_verify_3.json,1.0
accuracy,0.94,task/eval_verify_2.json,workspace_json,intermediate,7,,,0635e6c5ba98bffa144d,BFCL,Qwen3-4B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run2,claude_claude-opus-4-6_10h_run2::BFCL::Qwen3-4B-Base,,,0.94,task/eval_verify_2.json,1.0
accuracy,0.99,task/eval_v5_full.json,workspace_json,intermediate,7,,,0635e6c5ba98bffa144d,BFCL,Qwen3-4B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run2,claude_claude-opus-4-6_10h_run2::BFCL::Qwen3-4B-Base,,,0.99,task/eval_v5_full.json,1.0
accuracy,0.95,task/eval_full_20.json,workspace_json,intermediate,7,,,0635e6c5ba98bffa144d,BFCL,Qwen3-4B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run2,claude_claude-opus-4-6_10h_run2::BFCL::Qwen3-4B-Base,,,0.95,task/eval_full_20.json,1.0
accuracy,1.0,task/eval_v6.json,workspace_json,intermediate,7,,,0635e6c5ba98bffa144d,BFCL,Qwen3-4B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run2,claude_claude-opus-4-6_10h_run2::BFCL::Qwen3-4B-Base,,,1.0,task/eval_v6.json,1.0
accuracy,0.94,task/eval_verify_1.json,workspace_json,intermediate,7,,,0635e6c5ba98bffa144d,BFCL,Qwen3-4B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run2,claude_claude-opus-4-6_10h_run2::BFCL::Qwen3-4B-Base,,,0.94,task/eval_verify_1.json,1.0
accuracy,0.0,task/eval_test.json,workspace_json,intermediate,7,,,0635e6c5ba98bffa144d,BFCL,Qwen3-4B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run2,claude_claude-opus-4-6_10h_run2::BFCL::Qwen3-4B-Base,,,0.0,task/eval_test.json,1.0
accuracy,0.94,task/eval_full_100_temp0.json,workspace_json,intermediate,7,,,0635e6c5ba98bffa144d,BFCL,Qwen3-4B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run2,claude_claude-opus-4-6_10h_run2::BFCL::Qwen3-4B-Base,,,0.94,task/eval_full_100_temp0.json,1.0
accuracy,0.99,task/eval_v5_run2.json,workspace_json,intermediate,7,,,0635e6c5ba98bffa144d,BFCL,Qwen3-4B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run2,claude_claude-opus-4-6_10h_run2::BFCL::Qwen3-4B-Base,,,0.99,task/eval_v5_run2.json,1.0
accuracy,0.99,task/eval_final.json,workspace_json,intermediate,7,,,0635e6c5ba98bffa144d,BFCL,Qwen3-4B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run2,claude_claude-opus-4-6_10h_run2::BFCL::Qwen3-4B-Base,,,0.99,task/eval_final.json,1.0
accuracy,1.0,metrics.json,top_level_metrics,final_only,7,,,0635e6c5ba98bffa144d,BFCL,Qwen3-4B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run2,claude_claude-opus-4-6_10h_run2::BFCL::Qwen3-4B-Base,,,1.0,data/PostTrainBench-Trajectories/claude_claude-opus-4-6_10h_run2/bfcl_Qwen_Qwen3-4B-Base_16839122/metrics.json,1.0
accuracy,0.3476915925898051,metrics.json,top_level_metrics,final_only,0,,,0664071cffdb27cc6a12,HealthBench,SmolLM3-3B-Base,Claude,Claude Opus 4.8,claude_non_api_max_claude-opus-4-8_10h_run2,claude_non_api_max_claude-opus-4-8_10h_run2::HealthBench::SmolLM3-3B-Base,,,0.3476915925898051,data/PostTrainBench-Trajectories/claude_non_api_max_claude-opus-4-8_10h_run2/healthbench_HuggingFaceTB_SmolLM3-3B-Base_17334634/metrics.json,1.0
by_axis.accuracy,0.3994614003590664,metrics.json,top_level_metrics,final_only,0,,,0664071cffdb27cc6a12,HealthBench,SmolLM3-3B-Base,Claude,Claude Opus 4.8,claude_non_api_max_claude-opus-4-8_10h_run2,claude_non_api_max_claude-opus-4-8_10h_run2::HealthBench::SmolLM3-3B-Base,,,0.3994614003590664,data/PostTrainBench-Trajectories/claude_non_api_max_claude-opus-4-8_10h_run2/healthbench_HuggingFaceTB_SmolLM3-3B-Base_17334634/metrics.json,1.0
accuracy,0.94,metrics.json,top_level_metrics,final_only,1,,,0665da121a9929fc365a,BFCL,SmolLM3-3B-Base,Codex,GPT-5.5 Codex,codex_non_api_xhigh_gpt-5.5_10h_run2,codex_non_api_xhigh_gpt-5.5_10h_run2::BFCL::SmolLM3-3B-Base,,,0.94,data/PostTrainBench-Trajectories/codex_non_api_xhigh_gpt-5.5_10h_run2/bfcl_HuggingFaceTB_SmolLM3-3B-Base_17138214/metrics.json,1.0
accuracy,0.5304878048780488,metrics.json,top_level_metrics,final_only,10,,,069e1474b6c3b7970574,HumanEval,SmolLM3-3B-Base,Codex,GPT-5.5 Codex,codex_non_api_xhigh_gpt-5.5_10h_run1,codex_non_api_xhigh_gpt-5.5_10h_run1::HumanEval::SmolLM3-3B-Base,,,0.5304878048780488,data/PostTrainBench-Trajectories/codex_non_api_xhigh_gpt-5.5_10h_run1/humaneval_HuggingFaceTB_SmolLM3-3B-Base_17134871/metrics.json,1.0
accuracy,0.8635329795299469,metrics.json,top_level_metrics,final_only,1,,,06a66e167e625c4f3a4f,GSM8K,Qwen3-1.7B-Base,Claude,Claude Fable 5,claude_non_api_max_claude-fable-5_1m__10h_run2,claude_non_api_max_claude-fable-5_1m__10h_run2::GSM8K::Qwen3-1.7B-Base,,,0.8635329795299469,data/PostTrainBench-Trajectories/claude_non_api_max_claude-fable-5_1m__10h_run2/gsm8k_Qwen_Qwen3-1.7B-Base_17334179/metrics.json,1.0
